id,#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Image
441,358,Chimecho,Psychic,455,75,50,80,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/chimecho.png
442,359,Absol,Dark,465,65,130,60,75,60,75,https://img.pokemondb.net/sprites/sword-shield/icon/absol.png
443,359,Absol Mega Absol,Dark,565,65,150,60,115,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/absol-mega.png
444,360,Wynaut,Psychic,260,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png
445,361,Snorunt,Ice,300,50,50,50,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/snorunt.png
446,362,Glalie,Ice,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/glalie.png
447,362,Glalie Mega Glalie,Ice,580,80,120,80,120,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/glalie-mega.png
448,363,Spheal,Ice Water,290,70,40,50,55,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/spheal.png
449,364,Sealeo,Ice Water,410,90,60,70,75,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/sealeo.png
450,365,Walrein,Ice Water,530,110,80,90,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/walrein.png
451,366,Clamperl,Water,345,35,64,85,74,55,32,https://img.pokemondb.net/sprites/sword-shield/icon/clamperl.png
452,367,Huntail,Water,485,55,104,105,94,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/huntail.png
453,368,Gorebyss,Water,485,55,84,105,114,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/gorebyss.png
454,369,Relicanth,Water Rock,485,100,90,130,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/relicanth.png
455,370,Luvdisc,Water,330,43,30,55,40,65,97,https://img.pokemondb.net/sprites/sword-shield/icon/luvdisc.png
456,371,Bagon,Dragon,300,45,75,60,40,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/bagon.png
457,372,Shelgon,Dragon,420,65,95,100,60,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/shelgon.png
458,373,Salamence,Dragon Flying,600,95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png
459,373,Salamence Mega Salamence,Dragon Flying,700,95,145,130,120,90,120,https://img.pokemondb.net/sprites/sword-shield/icon/salamence-mega.png
460,374,Beldum,Steel Psychic,300,40,55,80,35,60,30,https://img.pokemondb.net/sprites/sword-shield/icon/beldum.png
461,375,Metang,Steel Psychic,420,60,75,100,55,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/metang.png
462,376,Metagross,Steel Psychic,600,80,135,130,95,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/metagross.png
463,376,Metagross Mega Metagross,Steel Psychic,700,80,145,150,105,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/metagross-mega.png
464,377,Regirock,Rock,580,80,100,200,50,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/regirock.png
465,378,Regice,Ice,580,80,50,100,100,200,50,https://img.pokemondb.net/sprites/sword-shield/icon/regice.png
466,379,Registeel,Steel,580,80,75,150,75,150,50,https://img.pokemondb.net/sprites/sword-shield/icon/registeel.png
467,380,Latias,Dragon Psychic,600,80,80,90,110,130,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias.png
468,380,Latias Mega Latias,Dragon Psychic,700,80,100,120,140,150,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias-mega.png
469,381,Latios,Dragon Psychic,600,80,90,80,130,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios.png
470,381,Latios Mega Latios,Dragon Psychic,700,80,130,100,160,120,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios-mega.png
471,382,Kyogre,Water,670,100,100,90,150,140,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre.png
472,382,Kyogre Primal Kyogre,Water,770,100,150,90,180,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre-primal.png
473,383,Groudon,Ground,670,100,150,140,100,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon.png
474,383,Groudon Primal Groudon,Ground Fire,770,100,180,160,150,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon-primal.png
475,384,Rayquaza,Dragon Flying,680,105,150,90,150,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza.png
476,384,Rayquaza Mega Rayquaza,Dragon Flying,780,105,180,100,180,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza-mega.png
477,385,Jirachi,Steel Psychic,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/jirachi.png
478,386,Deoxys Normal Forme,Psychic,600,50,150,50,150,50,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-normal.png
479,386,Deoxys Attack Forme,Psychic,600,50,180,20,180,20,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-attack.png
480,386,Deoxys Defense Forme,Psychic,600,50,70,160,70,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-defense.png
481,386,Deoxys Speed Forme,Psychic,600,50,95,90,95,90,180,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-speed.png
482,387,Turtwig,Grass,318,55,68,64,45,55,31,https://img.pokemondb.net/sprites/sword-shield/icon/turtwig.png
483,388,Grotle,Grass,405,75,89,85,55,65,36,https://img.pokemondb.net/sprites/sword-shield/icon/grotle.png
484,389,Torterra,Grass Ground,525,95,109,105,75,85,56,https://img.pokemondb.net/sprites/sword-shield/icon/torterra.png
485,390,Chimchar,Fire,309,44,58,44,58,44,61,https://img.pokemondb.net/sprites/sword-shield/icon/chimchar.png
486,391,Monferno,Fire Fighting,405,64,78,52,78,52,81,https://img.pokemondb.net/sprites/sword-shield/icon/monferno.png
487,392,Infernape,Fire Fighting,534,76,104,71,104,71,108,https://img.pokemondb.net/sprites/sword-shield/icon/infernape.png
488,393,Piplup,Water,314,53,51,53,61,56,40,https://img.pokemondb.net/sprites/sword-shield/icon/piplup.png
489,394,Prinplup,Water,405,64,66,68,81,76,50,https://img.pokemondb.net/sprites/sword-shield/icon/prinplup.png
490,395,Empoleon,Water Steel,530,84,86,88,111,101,60,https://img.pokemondb.net/sprites/sword-shield/icon/empoleon.png
491,396,Starly,Normal Flying,245,40,55,30,30,30,60,https://img.pokemondb.net/sprites/sword-shield/icon/starly.png
492,397,Staravia,Normal Flying,340,55,75,50,40,40,80,https://img.pokemondb.net/sprites/sword-shield/icon/staravia.png
493,398,Staraptor,Normal Flying,485,85,120,70,50,60,100,https://img.pokemondb.net/sprites/sword-shield/icon/staraptor.png
494,399,Bidoof,Normal,250,59,45,40,35,40,31,https://img.pokemondb.net/sprites/sword-shield/icon/bidoof.png
495,400,Bibarel,Normal Water,410,79,85,60,55,60,71,https://img.pokemondb.net/sprites/sword-shield/icon/bibarel.png
496,401,Kricketot,Bug,194,37,25,41,25,41,25,https://img.pokemondb.net/sprites/sword-shield/icon/kricketot.png
497,402,Kricketune,Bug,384,77,85,51,55,51,65,https://img.pokemondb.net/sprites/sword-shield/icon/kricketune.png
498,403,Shinx,Electric,263,45,65,34,40,34,45,https://img.pokemondb.net/sprites/sword-shield/icon/shinx.png
499,404,Luxio,Electric,363,60,85,49,60,49,60,https://img.pokemondb.net/sprites/sword-shield/icon/luxio.png
500,405,Luxray,Electric,523,80,120,79,95,79,70,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png
501,406,Budew,Grass Poison,280,40,30,35,50,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png
502,407,Roserade,Grass Poison,515,60,70,65,125,105,90,https://img.pokemondb.net/sprites/sword-shield/icon/roserade.png
503,408,Cranidos,Rock,350,67,125,40,30,30,58,https://img.pokemondb.net/sprites/sword-shield/icon/cranidos.png
504,409,Rampardos,Rock,495,97,165,60,65,50,58,https://img.pokemondb.net/sprites/sword-shield/icon/rampardos.png
505,410,Shieldon,Rock Steel,350,30,42,118,42,88,30,https://img.pokemondb.net/sprites/sword-shield/icon/shieldon.png
506,411,Bastiodon,Rock Steel,495,60,52,168,47,138,30,https://img.pokemondb.net/sprites/sword-shield/icon/bastiodon.png
507,412,Burmy Plant Cloak,Bug,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-plant.png
508,412,Burmy Sandy Cloak,Bug,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-sandy.png
509,412,Burmy Trash Cloak,Bug,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy-trash.png
510,413,Wormadam Plant Cloak,Bug Grass,424,60,59,85,79,105,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-plant.png
511,413,Wormadam Sandy Cloak,Bug Ground,424,60,79,105,59,85,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-sandy.png
512,413,Wormadam Trash Cloak,Bug Steel,424,60,69,95,69,95,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-trash.png
513,414,Mothim,Bug Flying,424,70,94,50,94,50,66,https://img.pokemondb.net/sprites/sword-shield/icon/mothim.png
514,415,Combee,Bug Flying,244,30,30,42,30,42,70,https://img.pokemondb.net/sprites/sword-shield/icon/combee.png
515,416,Vespiquen,Bug Flying,474,70,80,102,80,102,40,https://img.pokemondb.net/sprites/sword-shield/icon/vespiquen.png
516,417,Pachirisu,Electric,405,60,45,70,45,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/pachirisu.png
517,418,Buizel,Water,330,55,65,35,60,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/buizel.png
518,419,Floatzel,Water,495,85,105,55,85,50,115,https://img.pokemondb.net/sprites/sword-shield/icon/floatzel.png
519,420,Cherubi,Grass,275,45,35,45,62,53,35,https://img.pokemondb.net/sprites/sword-shield/icon/cherubi.png
520,421,Cherrim,Grass,450,70,60,70,87,78,85,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png
521,422,Shellos,Water,325,76,48,48,57,62,34,https://img.pokemondb.net/sprites/sword-shield/icon/shellos.png
522,423,Gastrodon,Water Ground,475,111,83,68,92,82,39,https://img.pokemondb.net/sprites/sword-shield/icon/gastrodon.png
523,424,Ambipom,Normal,482,75,100,66,60,66,115,https://img.pokemondb.net/sprites/sword-shield/icon/ambipom.png
524,425,Drifloon,Ghost Flying,348,90,50,34,60,44,70,https://img.pokemondb.net/sprites/sword-shield/icon/drifloon.png
525,426,Drifblim,Ghost Flying,498,150,80,44,90,54,80,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png
526,427,Buneary,Normal,350,55,66,44,44,56,85,https://img.pokemondb.net/sprites/sword-shield/icon/buneary.png
527,428,Lopunny,Normal,480,65,76,84,54,96,105,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny.png
528,428,Lopunny Mega Lopunny,Normal Fighting,580,65,136,94,54,96,135,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny-mega.png
529,429,Mismagius,Ghost,495,60,60,60,105,105,105,https://img.pokemondb.net/sprites/sword-shield/icon/mismagius.png
530,430,Honchkrow,Dark Flying,505,100,125,52,105,52,71,https://img.pokemondb.net/sprites/sword-shield/icon/honchkrow.png
531,431,Glameow,Normal,310,49,55,42,42,37,85,https://img.pokemondb.net/sprites/sword-shield/icon/glameow.png
532,432,Purugly,Normal,452,71,82,64,64,59,112,https://img.pokemondb.net/sprites/sword-shield/icon/purugly.png
533,433,Chingling,Psychic,285,45,30,50,65,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png
534,434,Stunky,Poison Dark,329,63,63,47,41,41,74,https://img.pokemondb.net/sprites/sword-shield/icon/stunky.png
535,435,Skuntank,Poison Dark,479,103,93,67,71,61,84,https://img.pokemondb.net/sprites/sword-shield/icon/skuntank.png
536,436,Bronzor,Steel Psychic,300,57,24,86,24,86,23,https://img.pokemondb.net/sprites/sword-shield/icon/bronzor.png
537,437,Bronzong,Steel Psychic,500,67,89,116,79,116,33,https://img.pokemondb.net/sprites/sword-shield/icon/bronzong.png
538,438,Bonsly,Rock,290,50,80,95,10,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png
539,439,Mime Jr.,Psychic Fairy,310,20,25,45,70,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png
540,440,Happiny,Normal,220,100,5,5,15,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png
541,441,Chatot,Normal Flying,411,76,65,45,92,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/chatot.png
542,442,Spiritomb,Ghost Dark,485,50,92,108,92,108,35,https://img.pokemondb.net/sprites/sword-shield/icon/spiritomb.png
543,443,Gible,Dragon Ground,300,58,70,45,40,45,42,https://img.pokemondb.net/sprites/sword-shield/icon/gible.png
544,444,Gabite,Dragon Ground,410,68,90,65,50,55,82,https://img.pokemondb.net/sprites/sword-shield/icon/gabite.png
545,445,Garchomp,Dragon Ground,600,108,130,95,80,85,102,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png
546,445,Garchomp Mega Garchomp,Dragon Ground,700,108,170,115,120,95,92,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp-mega.png
547,446,Munchlax,Normal,390,135,85,40,40,85,5,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png
548,447,Riolu,Fighting,285,40,70,40,35,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png
549,448,Lucario,Fighting Steel,525,70,110,70,115,70,90,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png
550,448,Lucario Mega Lucario,Fighting Steel,625,70,145,88,140,70,112,https://img.pokemondb.net/sprites/sword-shield/icon/lucario-mega.png
551,449,Hippopotas,Ground,330,68,72,78,38,42,32,https://img.pokemondb.net/sprites/sword-shield/icon/hippopotas.png
552,450,Hippowdon,Ground,525,108,112,118,68,72,47,https://img.pokemondb.net/sprites/sword-shield/icon/hippowdon.png
553,451,Skorupi,Poison Bug,330,40,50,90,30,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/skorupi.png
554,452,Drapion,Poison Dark,500,70,90,110,60,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/drapion.png
555,453,Croagunk,Poison Fighting,300,48,61,40,61,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/croagunk.png
556,454,Toxicroak,Poison Fighting,490,83,106,65,86,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png
557,455,Carnivine,Grass,454,74,100,72,90,72,46,https://img.pokemondb.net/sprites/sword-shield/icon/carnivine.png
558,456,Finneon,Water,330,49,49,56,49,61,66,https://img.pokemondb.net/sprites/sword-shield/icon/finneon.png
559,457,Lumineon,Water,460,69,69,76,69,86,91,https://img.pokemondb.net/sprites/sword-shield/icon/lumineon.png
560,458,Mantyke,Water Flying,345,45,20,50,60,120,50,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png
561,459,Snover,Grass Ice,334,60,62,50,62,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/snover.png
562,460,Abomasnow,Grass Ice,494,90,92,75,92,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png
563,460,Abomasnow Mega Abomasnow,Grass Ice,594,90,132,105,132,105,30,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow-mega.png
564,461,Weavile,Dark Ice,510,70,120,65,45,85,125,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png
565,462,Magnezone,Electric Steel,535,70,70,115,130,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/magnezone.png
566,463,Lickilicky,Normal,515,110,85,95,80,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/lickilicky.png
567,464,Rhyperior,Ground Rock,535,115,140,130,55,55,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png
568,465,Tangrowth,Grass,535,100,100,125,110,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/tangrowth.png
569,466,Electivire,Electric,540,75,123,67,95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png
570,467,Magmortar,Fire,540,75,95,67,125,95,83,https://img.pokemondb.net/sprites/sword-shield/icon/magmortar.png
571,468,Togekiss,Fairy Flying,545,85,50,95,120,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/togekiss.png
572,469,Yanmega,Bug Flying,515,86,76,86,116,56,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanmega.png
573,470,Leafeon,Grass,525,65,110,130,60,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png
574,471,Glaceon,Ice,525,65,60,110,130,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png
575,472,Gliscor,Ground Flying,510,75,95,125,45,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/gliscor.png
576,473,Mamoswine,Ice Ground,530,110,130,80,70,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/mamoswine.png
577,474,Porygon-Z,Normal,535,85,80,70,135,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png
578,475,Gallade,Psychic Fighting,518,68,125,65,65,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gallade.png
579,475,Gallade Mega Gallade,Psychic Fighting,618,68,165,95,65,115,110,https://img.pokemondb.net/sprites/sword-shield/icon/gallade-mega.png
580,476,Probopass,Rock Steel,525,60,55,145,75,150,40,https://img.pokemondb.net/sprites/sword-shield/icon/probopass.png
581,477,Dusknoir,Ghost,525,45,100,135,65,135,45,https://img.pokemondb.net/sprites/sword-shield/icon/dusknoir.png
582,478,Froslass,Ice Ghost,480,70,80,70,80,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png
583,479,Rotom,Electric Ghost,440,50,50,77,95,77,91,https://img.pokemondb.net/sprites/sword-shield/icon/rotom.png
584,479,Rotom Heat Rotom,Electric Fire,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-heat.png
585,479,Rotom Wash Rotom,Electric Water,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png
586,479,Rotom Frost Rotom,Electric Ice,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-frost.png
587,479,Rotom Fan Rotom,Electric Flying,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-fan.png
588,479,Rotom Mow Rotom,Electric Grass,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png
589,480,Uxie,Psychic,580,75,75,130,75,130,95,https://img.pokemondb.net/sprites/sword-shield/icon/uxie.png
590,481,Mesprit,Psychic,580,80,105,105,105,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/mesprit.png
591,482,Azelf,Psychic,580,75,125,70,125,70,115,https://img.pokemondb.net/sprites/sword-shield/icon/azelf.png
592,483,Dialga,Steel Dragon,680,100,120,120,150,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/dialga.png
593,483,Dialga Origin Forme,Steel Dragon,680,100,100,120,150,120,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/dialga-origin.png
594,484,Palkia,Water Dragon,680,90,120,100,150,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/palkia.png
595,484,Palkia Origin Forme,Water Dragon,680,90,100,100,150,120,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/palkia-origin.png
596,485,Heatran,Fire Steel,600,91,90,106,130,106,77,https://img.pokemondb.net/sprites/sword-shield/icon/heatran.png
597,486,Regigigas,Normal,670,110,160,110,80,110,100,https://img.pokemondb.net/sprites/sword-shield/icon/regigigas.png
598,487,Giratina Altered Forme,Ghost Dragon,680,150,100,120,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-altered.png
599,487,Giratina Origin Forme,Ghost Dragon,680,150,120,100,120,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-origin.png
600,488,Cresselia,Psychic,580,120,70,110,75,120,85,https://img.pokemondb.net/sprites/sword-shield/icon/cresselia.png
601,489,Phione,Water,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/phione.png
602,490,Manaphy,Water,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/manaphy.png
603,491,Darkrai,Dark,600,70,90,90,135,90,125,https://img.pokemondb.net/sprites/sword-shield/icon/darkrai.png
604,492,Shaymin Land Forme,Grass,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-land.png
605,492,Shaymin Sky Forme,Grass Flying,600,100,103,75,120,75,127,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-sky.png
606,493,Arceus,Normal,720,120,120,120,120,120,120,https://img.pokemondb.net/sprites/sword-shield/icon/arceus.png
607,494,Victini,Psychic Fire,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/victini.png
608,495,Snivy,Grass,308,45,45,55,45,55,63,https://img.pokemondb.net/sprites/sword-shield/icon/snivy.png
609,496,Servine,Grass,413,60,60,75,60,75,83,https://img.pokemondb.net/sprites/sword-shield/icon/servine.png
610,497,Serperior,Grass,528,75,75,95,75,95,113,https://img.pokemondb.net/sprites/sword-shield/icon/serperior.png
611,498,Tepig,Fire,308,65,63,45,45,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/tepig.png
612,499,Pignite,Fire Fighting,418,90,93,55,70,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/pignite.png
613,500,Emboar,Fire Fighting,528,110,123,65,100,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/emboar.png
614,501,Oshawott,Water,308,55,55,45,63,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/oshawott.png
615,502,Dewott,Water,413,75,75,60,83,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/dewott.png
616,503,Samurott,Water,528,95,100,85,108,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/samurott.png
617,503,Samurott Hisuian Samurott,Water Dark,528,90,108,80,100,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/samurott-hisuian.png
618,504,Patrat,Normal,255,45,55,39,35,39,42,https://img.pokemondb.net/sprites/sword-shield/icon/patrat.png
619,505,Watchog,Normal,420,60,85,69,60,69,77,https://img.pokemondb.net/sprites/sword-shield/icon/watchog.png
620,506,Lillipup,Normal,275,45,60,45,25,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/lillipup.png
621,507,Herdier,Normal,370,65,80,65,35,65,60,https://img.pokemondb.net/sprites/sword-shield/icon/herdier.png
622,508,Stoutland,Normal,500,85,110,90,45,90,80,https://img.pokemondb.net/sprites/sword-shield/icon/stoutland.png
623,509,Purrloin,Dark,281,41,50,37,50,37,66,https://img.pokemondb.net/sprites/sword-shield/icon/purrloin.png
624,510,Liepard,Dark,446,64,88,50,88,50,106,https://img.pokemondb.net/sprites/sword-shield/icon/liepard.png
625,511,Pansage,Grass,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/pansage.png
626,512,Simisage,Grass,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simisage.png
627,513,Pansear,Fire,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/pansear.png
628,514,Simisear,Fire,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simisear.png
629,515,Panpour,Water,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/panpour.png
630,516,Simipour,Water,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simipour.png
631,517,Munna,Psychic,292,76,25,45,67,55,24,https://img.pokemondb.net/sprites/sword-shield/icon/munna.png
632,518,Musharna,Psychic,487,116,55,85,107,95,29,https://img.pokemondb.net/sprites/sword-shield/icon/musharna.png
633,519,Pidove,Normal Flying,264,50,55,50,36,30,43,https://img.pokemondb.net/sprites/sword-shield/icon/pidove.png
634,520,Tranquill,Normal Flying,358,62,77,62,50,42,65,https://img.pokemondb.net/sprites/sword-shield/icon/tranquill.png
635,521,Unfezant,Normal Flying,488,80,115,80,65,55,93,https://img.pokemondb.net/sprites/sword-shield/icon/unfezant.png
636,522,Blitzle,Electric,295,45,60,32,50,32,76,https://img.pokemondb.net/sprites/sword-shield/icon/blitzle.png
637,523,Zebstrika,Electric,497,75,100,63,80,63,116,https://img.pokemondb.net/sprites/sword-shield/icon/zebstrika.png
638,524,Roggenrola,Rock,280,55,75,85,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/roggenrola.png
639,525,Boldore,Rock,390,70,105,105,50,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/boldore.png
640,526,Gigalith,Rock,515,85,135,130,60,80,25,https://img.pokemondb.net/sprites/sword-shield/icon/gigalith.png
641,527,Woobat,Psychic Flying,323,65,45,43,55,43,72,https://img.pokemondb.net/sprites/sword-shield/icon/woobat.png
642,528,Swoobat,Psychic Flying,425,67,57,55,77,55,114,https://img.pokemondb.net/sprites/sword-shield/icon/swoobat.png
643,529,Drilbur,Ground,328,60,85,40,30,45,68,https://img.pokemondb.net/sprites/sword-shield/icon/drilbur.png
644,530,Excadrill,Ground Steel,508,110,135,60,50,65,88,https://img.pokemondb.net/sprites/sword-shield/icon/excadrill.png
645,531,Audino,Normal,445,103,60,86,60,86,50,https://img.pokemondb.net/sprites/sword-shield/icon/audino.png
646,531,Audino Mega Audino,Normal Fairy,545,103,60,126,80,126,50,https://img.pokemondb.net/sprites/sword-shield/icon/audino-mega.png
647,532,Timburr,Fighting,305,75,80,55,25,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/timburr.png
648,533,Gurdurr,Fighting,405,85,105,85,40,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/gurdurr.png
649,534,Conkeldurr,Fighting,505,105,140,95,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/conkeldurr.png
650,535,Tympole,Water,294,50,50,40,50,40,64,https://img.pokemondb.net/sprites/sword-shield/icon/tympole.png
651,536,Palpitoad,Water Ground,384,75,65,55,65,55,69,https://img.pokemondb.net/sprites/sword-shield/icon/palpitoad.png
652,537,Seismitoad,Water Ground,509,105,95,75,85,75,74,https://img.pokemondb.net/sprites/sword-shield/icon/seismitoad.png
653,538,Throh,Fighting,465,120,100,85,30,85,45,https://img.pokemondb.net/sprites/sword-shield/icon/throh.png
654,539,Sawk,Fighting,465,75,125,75,30,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/sawk.png
655,540,Sewaddle,Bug Grass,310,45,53,70,40,60,42,https://img.pokemondb.net/sprites/sword-shield/icon/sewaddle.png
656,541,Swadloon,Bug Grass,380,55,63,90,50,80,42,https://img.pokemondb.net/sprites/sword-shield/icon/swadloon.png
657,542,Leavanny,Bug Grass,500,75,103,80,70,80,92,https://img.pokemondb.net/sprites/sword-shield/icon/leavanny.png
658,543,Venipede,Bug Poison,260,30,45,59,30,39,57,https://img.pokemondb.net/sprites/sword-shield/icon/venipede.png
659,544,Whirlipede,Bug Poison,360,40,55,99,40,79,47,https://img.pokemondb.net/sprites/sword-shield/icon/whirlipede.png
660,545,Scolipede,Bug Poison,485,60,100,89,55,69,112,https://img.pokemondb.net/sprites/sword-shield/icon/scolipede.png
661,546,Cottonee,Grass Fairy,280,40,27,60,37,50,66,https://img.pokemondb.net/sprites/sword-shield/icon/cottonee.png
662,547,Whimsicott,Grass Fairy,480,60,67,85,77,75,116,https://img.pokemondb.net/sprites/sword-shield/icon/whimsicott.png
663,548,Petilil,Grass,280,45,35,50,70,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/petilil.png
